recno
1911404
1911404
1905689
1909859
1909862
1909862
1909869
1911229
1911724
1912288
1912722
1913221
1913221
1913225
1913232
1913412
1914030
1914030
1914946
1915347
1915715
1915782
1915783
1915784
1915788
1915789
1915790
1915831
1915831
1917467
1915946
1917618
1918555
1913443
1914888
1909811
1909812
1909813
1913374
1913375
1914720
1914722
1914725
1914726
1914727
1914892
1916428
1920398
1917297
1918013
1911085
1911086
1915775
1916446
1909114
1909114
1911023
1912747
1915578
1916293
1919370
1919370
