RECNO,Ter ,SSL,ID ,Consignee,Container No,Chassis No,,,, EL Bill,,WO #,BOL #,,
1907840,CHI,HII,SAMSDTX,LOWE'S ADC 3463,KOCU-430867-8,MAEC-654426,02/19/2022,02/21/2022,,103.40 ,0.00 ,669.44 ,SEA0000794,HDMULCHM39989100,02/19/2022
1907841,CHI,HII,SAMSDTX,LOWE'S ADC 3463,KOCU-431561-4,NEDZ-403087,02/19/2022,02/22/2022,,141.40 ,0.00 ,707.44 ,SEA0000796,HDMULCHM31791300,02/19/2022
1907842,CHI,HII,SAMSDTX,LOWE'S ADC 3463,KOCU-449247-7,HDMZ-412338,02/25/2022,03/23/2022,03/02/2022,0.00 ,"4,289.26 ","4,844.70 ",SEA0000823,HDMULCHM68108903,02/28/2022
1907843,CHI,HII,SAMSDTX,LOWE'S ADC 3463,KOCU-451795-5,DCHZ-411717,02/16/2022,03/01/2022,,0.00 ,"1,167.00 ","1,722.44 ",SEA0000826,HDMULCHM47786601,02/28/2022
1907844,CHI,HII,SAMSDTX,LOWE'S ADC 3463,KOCU-468585-6,DCLZ-412729,02/21/2022,02/28/2022,,0.00 ,554.00 ,"1,109.44 ",SEA0000852,HDMULCHM91151301,02/22/2022
1907873,CHI,HII,SAMSDTX,LOWE'S ADC 3463,KOCU-470759-6,MAEC-650595,02/25/2022,03/25/2022,03/03/2022,0.00 ,"4,730.66 ","5,286.10 ",SEA0000857,HDMULCHM90191200,02/28/2022
1907874,CHI,HII,SAMSDTX,LOWE'S ADC 3463,KOCU-471238-1,DCNZ-508067,02/24/2022,02/28/2022,02/28/2022,179.90 ,"1,573.25 ","2,319.19 ",SEA0000858,HDMULCHM87144100,02/24/2022
1907875,CHI,HII,SAMSDTX,LOWE'S ADC 3463,KOCU-473798-6,MAEC-579556,02/19/2022,02/21/2022,,103.40 ,0.00 ,669.44 ,SEA0000860,HDMULCHM48714900,02/19/2022
1907876,CHI,HII,SAMSDTX,LOWE'S ADC 3463,KOCU-475881-8,MSCZ-400163,02/23/2022,03/01/2022,,516.00 ,"1,573.25 ","2,644.69 ",SEA0000862,HDMULCHM19187100,02/24/2022
1907877,CHI,HII,SAMSDTX,LOWE'S ADC 3463,KOCU-487889-7,DCNZ-406469,02/26/2022,03/21/2022,03/03/2022,0.00 ,"3,024.00 ","3,579.44 ",SEA0000879,HDMULCHM02549900,02/28/2022
1907878,CHI,HII,SAMSDTX,LOWE'S ADC 3463,KOCU-490778-4,HDMZ-414362,02/25/2022,03/26/2022,03/02/2022,0.00 ,"4,951.36 ","5,506.80 ",SEA0000884,HDMULCHM24569600,02/28/2022
1907879,CHI,HII,SAMSDTX,LOWE'S ADC 3463,KOCU-495365-0,APMZ-425078,02/25/2022,03/26/2022,03/02/2022,0.00 ,"4,951.36 ","5,506.80 ",SEA0000892,HDMULCHM69429300,02/28/2022
1907880,CHI,HII,SAMSDTX,LOWE'S ADC 3463,KOCU-496066-5,OESZ-802093,02/25/2022,03/02/2022,,0.00 ,548.00 ,"1,103.44 ",SEA0000894,HDMULCHM35162100,02/28/2022
1907881,CHI,HII,SAMSDTX,LOWE'S ADC 3463,KOCU-500350-2,MSCZ-140338,02/23/2022,02/28/2022,02/28/2022,478.00 ,"1,344.88 ","2,378.32 ",SEA0000900,HDMULCHM80301200,02/24/2022
1907882,CHI,HII,SAMSDTX,LOWE'S ADC 3463,KOCU-502310-8,DCLZ-700612,02/25/2022,03/25/2022,03/02/2022,0.00 ,"4,730.66 ","5,286.10 ",SEA0000902,HDMULCHM00247900,02/28/2022
1907883,CHI,HII,SAMSDTX,LOWE'S ADC 3463,KOCU-503636-3,DCLZ-425384,02/19/2022,02/21/2022,,103.40 ,0.00 ,669.44 ,SEA0000906,HDMULCHM26164200,02/19/2022
1907884,CHI,HII,SAMSDTX,LOWE'S ADC 3463,KOCU-511753-1,DCLZ-409509,02/23/2022,02/28/2022,,0.00 ,478.00 ,"1,033.44 ",SEA0000913,HDMULCHM73486100,02/24/2022
1907885,CHI,HII,SAMSDTX,LOWE'S ADC 3463,SEGU-584731-6,DCLZ-425100,02/11/2022,02/28/2022,02/28/2022,0.00 ,"2,004.00 ","2,559.44 ",SEA0000935,HDMULCHM68108900,02/22/2022
1907886,CHI,HII,SAMSDTX,LOWE'S ADC 3463,TCLU-894450-9,PONZ-455627,02/26/2022,03/09/2022,03/07/2022,0.00 ,741.00 ,"1,296.44 ",SEA0000945,HDMULCHM77375100,02/28/2022
1907887,CHI,HII,SAMSDTX,LOWE'S ADC 3463,TCNU-176723-0,OESZ-801837,02/23/2022,02/28/2022,,0.00 ,478.00 ,"1,033.44 ",SEA0000950,HDMULCHM71269900,02/24/2022
1907888,CHI,HII,SAMSDTX,LOWE'S ADC 3463,TCNU-508774-0,MAEC-742627,02/21/2022,02/24/2022,02/24/2022,141.40 ,0.00 ,707.44 ,SEA0000951,HDMULCHM10986400,02/21/2022
1907889,CHI,HII,SAMSDTX,LOWE'S ADC 3463,TGBU-622260-7,APMZ-426598,02/21/2022,02/24/2022,02/24/2022,141.40 ,0.00 ,707.44 ,SEA0000960,HDMULCHM04641400,02/21/2022
1907898,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,BSIU-991889-0,NEDZ-402433,03/02/2022,03/15/2022,,817.00 ,659.75 ,"1,959.15 ",SEA0000584,HDMULCHM23694900,03/04/2022
1907899,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,BSIU-994194-6,HDMZ-502434,02/25/2022,03/07/2022,03/07/2022,0.00 ,878.00 ,"1,360.40 ",SEA0000587,HDMULCHM23694900,03/04/2022
1907900,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,CAAU-504321-5,FLGZ-445689,02/24/2022,03/14/2022,,0.00 ,"2,095.50 ","2,577.90 ",SEA0000588,HDMULCHM34572748,03/03/2022
