RECNO
1907671
1907808
1907809
1907810
1907811
1907812
1907813
1907814
1907816
1907823
1907824
1907825
1907826
1907828
1907829
1907830
1907831
1907836
1907837
1907838
1907842
1907843
1907844
1907873
1907877
1907878
1907879
1907880
1907882
1907884
1907885
1907886
1907887
1907897
1907899
1907900
1907904
1907905
1907907
1907908
1907915
1907916
1907918
1907931
1907936
1907937
1907948
1907949
1907951
1907952
1907953
1907955
1907956
1907959
1907961
1907962
1907963
1907977
1907978
1907979
1907980
1907983
1907987
1907990
1907994
1907999
1908003
1908004
1908006
1908009
1908013
1908015
1908018
1908020
1908029
1908033
1908039
1908143
1908145
1908149
1908152
1908153
1908155
1908319
1908322
1908323
1908325
1908326
1908329
1908334
1908335
1908337
1908338
1908339
1908341
1908342
1908343
1908344
1908345
1908349
1908351
1908383
1908385
1908386
1908387
1908388
1908389
1908390
1908391
1908392
1908393
1908395
1908399
1908400
1908401
1908471
1908472
1908474
1908477
1908479
1908480
1908481
1908482
1908485
1908486
1908487
1908489
1908491
1908492
1908495
1908496
1908497
1908505
1908550
1908551
1908552
1908576
1908578
1908579
1908581
1908582
1908584
1908585
1908587
1908592
1908594
1908595
1908596
1908597
1908598
1908599
1908600
1908602
1908603
1908606
1908607
1908609
1908615
1908717
1908718
1908719
1908725
1908766
1908768
1909659
1909661
1909662
1909663
1909664
1909665
1909666
1909817
1909818
1909821
1909822
1909824
1909828
1909829
1909830
1909831
1909833
1909834
1909835
1909836
1909839
1909840
1909842
1909904
1909905
1909906
1909907
1909908
1909940
1909942
1909964
1909965
1909967
1909968
1909969
1909970
1910017
1910018
1910021
1910022
1910024
1910032
1910033
1910034
1910035
1910036
1910038
1910039
1910040
1910098
1910100
1910101
1910102
1910116
1910117
1910118
1910119
1910120
1910121
1910123
1910124
1910125
1910133
1910134
1910135
1910136
1910137
1910140
1910142
1910144
1910145
1910146
1910147
1910148
1910149
1910150
1910151
1910152
1910153
1910173
1910174
1910175
1910176
1910177
1910178
1910179
1910180
1910181
1910182
1910183
1910184
1910185
1910232
1910236
1910238
1910244
1910246
1910248
1910252
1910254
1910256
1910258
1910267
1910268
1910269
1910270
1910272
1910273
1910275
1910276
1910277
1910278
1910279
1910282
1910289
1910290
1910291
1910294
1910295
1910296
1910298
1910299
1910302
1910310
1910311
1910315
1910318
1910319
1910321
1910323
1910324
1910325
1910326
1910328
1910329
1910332
1910333
1910334
1910335
1910337
1910339
1910340
1910341
1910343
1910345
1910347
1910348
1910351
1910367
1910369
1910371
1910372
1910377
1910378
1910379
1910381
1910382
1910384
1910421
1910431
1910434
1910436
1910437
1910438
1910439
1910440
1910441
1910442
1910448
1910449
1910452
1910453
1910456
1910457
1910458
1910470
1910475
1910476
1910477
1910514
1910516
1910520
1910522
1910524
1910526
