Div ,Carrier ID ,Carrier Ref ,Term,RecNo ,SStat ,MStat,Adj Date ,Adj Code,  -  Desc ,Adj Amt,Deduct Amt,Sett Amt,ToBe Paid ,B ,Bill Amt ,Billed To ,SPaid ,Check #,Recog
RST,CN,755255299,CHI,1907208,99,PR,3/17/2022,RST,RAIL/PORT STORAGE,$150.00 ,$675.20 ,$150.00 ,3/17/2022,N,"$1,652.50 ",DJSTXIL,03/23/2022,221847,3/17/2022
CHZ,DIRECT,DZZZ2245246,CHI,1907211,99,PR,3/25/2022,CR,CHASSIS RENTAL,$18.00 ,$664.30 ,$18.00 ,3/29/2022,N,"$1,327.50 ",DJSTXIL,,,3/29/2022
CHZ,DIRECT,DZZZ2245246,CHI,1907211,99,PR,3/25/2022,CR,CHASSIS RENTAL,$18.00 ,$664.30 ,$18.00 ,3/29/2022,N,"$1,327.50 ",DJSTXIL,,,3/29/2022
PD,COSCNJ,HOU00071583,CHI,1907212,99,PR,3/23/2022,PD,PER DIEM CHARGES,$125.00 ,$646.10 ,$125.00 ,3/23/2022,Y,"$1,327.50 ",DJSTXIL,,,3/23/2022
CHZ,DIRECT,DZZZ2245246,CHI,1907212,99,PR,3/25/2022,CR,CHASSIS RENTAL,$108.00 ,$646.10 ,$108.00 ,3/29/2022,Y,"$1,327.50 ",DJSTXIL,,,3/29/2022
CHZ,DIRECT,DZZZ2245246,CHI,1907271,99,PR,3/25/2022,CR,CHASSIS RENTAL,$54.00 ,$719.78 ,$54.00 ,3/29/2022,N,"$1,497.50 ",DJSTXIL,,,3/29/2022
RST,UPRC,318817672,CHI,1907271,99,PR,3/16/2022,RST,RAIL/PORT STORAGE,$280.00 ,$719.78 ,$280.00 ,3/17/2022,N,"$1,497.50 ",DJSTXIL,,,3/17/2022
RST,CN,755252823,CHI,1907273,99,PR,3/16/2022,RST,RAIL/PORT STORAGE,$50.00 ,$655.20 ,$50.00 ,3/28/2022,N,"$1,777.50 ",DJSTXIL,03/29/2022,221882,3/28/2022
RST,CN,755232385,CHI,1907274,99,PR,3/2/2022,RST,RAIL/PORT STORAGE,$150.00 ,$627.90 ,$150.00 ,3/2/2022,Y,"$1,652.50 ",DJSTXIL,03/08/2022,221736,3/2/2022
PD,COSCNJ,HOU00068834,CHI,1907274,99,PR,3/16/2022,PD,PER DIEM CHARGES,$180.00 ,$627.90 ,$180.00 ,3/18/2022,Y,"$1,652.50 ",DJSTXIL,,,3/18/2022
CHZ,DIRECT,DZZZ2245246,CHI,1908365,99,PR,3/25/2022,CR,CHASSIS RENTAL,$72.00 ,$700.06 ,$72.00 ,3/29/2022,Y,"$1,207.50 ",DJSTXIL,,,3/29/2022
PD,COSCNJ,HOU00068834,CHI,1908366,99,PR,3/16/2022,PD,PER DIEM CHARGES,$985.00 ,$611.97 ,$985.00 ,3/18/2022,Y,"$1,594.50 ",DJSTXIL,,,3/18/2022
RST,CN,755261151,CHI,1910424,99,PR,3/23/2022,RST,RAIL/PORT STORAGE,$150.00 ,$664.30 ,$150.00 ,3/23/2022,N,"$1,536.50 ",DJSTXIL,03/29/2022,221882,3/23/2022
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
