Div ,Carrier ID ,Carrier Ref ,Term,RecNo ,SStat ,MStat,Adj Date ,Adj Code,  -  Desc ,Adj Amt,Deduct Amt,Sett Amt,ToBe Paid ,B ,Bill Amt ,Billed To ,SPaid ,Check #,Recog
PD,MSCSC,100001312612P,CHI,1899262,88,PR,1/4/2022,PD,PER DIEM CHARGES,"$4,720.00 ",$697.77 ,"$4,720.00 ",1/5/2022,Y,"$1,488.75 ",DJSTXIL,02/03/2022,ACH,1/5/2022
YST,DELONG,001206,CHI,1899263,99,PR,1/4/2022,YST,YARD STORAGE CHARGES,$39.80 ,"$1,173.04 ",$39.80 ,1/6/2022,Y,"$3,283.75 ",DJSTXIL,01/11/2022,221369,1/6/2022
PD,MSCSC,100001307806P,CHI,1899263,99,PR,1/3/2022,PD,PER DIEM CHARGES,"$1,095.00 ","$1,173.04 ","$1,095.00 ",1/5/2022,Y,"$3,283.75 ",DJSTXIL,02/03/2022,ACH,1/5/2022
YST,DELONG,001206,CHI,1899264,99,PR,1/4/2022,YST,YARD STORAGE CHARGES,$79.60 ,$718.77 ,$79.60 ,1/6/2022,Y,"$1,972.50 ",DJSTXIL,01/11/2022,221369,1/6/2022
CHZ,FLEMA,15Z14047919,CHI,1899264,99,PR,12/28/2021,CR,CHASSIS RENTAL,$261.25 ,$718.77 ,$261.25 ,1/4/2022,Y,"$1,972.50 ",DJSTXIL,01/11/2022,221362,1/4/2022
PD,MSCSC,100001302006P,CHI,1899264,99,PR,12/30/2021,PD,PER DIEM CHARGES,"$2,785.00 ",$718.77 ,"$2,785.00 ",1/3/2022,Y,"$1,972.50 ",DJSTXIL,01/26/2022,ACH,1/3/2022
PD,COSCNJ,HOU00038952,CHI,1899476,88,PR,12/12/2021,PD,PER DIEM CHARGES,"$1,800.00 ",$643.77 ,"$1,800.00 ",12/13/2021,Y,"$1,873.75 ",DJSTXIL,01/26/2022,ACH,12/13/2021
CHZ,FLEMA,15Z14047919,CHI,1899476,88,PR,12/28/2021,CR,CHASSIS RENTAL,$332.50 ,$643.77 ,$332.50 ,1/4/2022,Y,"$1,873.75 ",DJSTXIL,01/11/2022,221362,1/4/2022
PD,COSCNJ,HOU00035241,CHI,1899732,99,PR,12/5/2021,PD,PER DIEM CHARGES,"$2,965.00 ",$634.05 ,"$2,965.00 ",12/6/2021,Y,"$1,398.75 ",DJSTXIL,01/12/2022,ACH,12/6/2021
CHZ,TRACMO,10125411,CHI,1899732,99,PR,1/14/2022,CR,CHASSIS RENTAL,$540.75 ,$634.05 ,$540.75 ,1/18/2022,Y,"$1,398.75 ",DJSTXIL,02/22/2022,221657,1/18/2022
CHZ,FLEMA,15Z14047919,CHI,1899734,99,PR,12/28/2021,CR,CHASSIS RENTAL,$522.50 ,$723.04 ,$522.50 ,1/4/2022,Y,"$1,541.25 ",DJSTXIL,01/11/2022,221362,1/4/2022
PD,COSCNJ,HOU00038897,CHI,1899735,99,PR,12/12/2021,PD,PER DIEM CHARGES,"$3,865.00 ",$571.04 ,"$3,865.00 ",12/13/2021,Y,"$1,777.50 ",DJSTXIL,01/26/2022,ACH,12/13/2021
CHZ,FLEMA,15Z14047919,CHI,1899735,99,PR,12/28/2021,CR,CHASSIS RENTAL,$498.75 ,$571.04 ,$498.75 ,1/4/2022,Y,"$1,777.50 ",DJSTXIL,01/11/2022,221362,1/4/2022
CHZ,FLEMA,15Z14047919,CHI,1899813,99,PR,12/28/2021,CR,CHASSIS RENTAL,$332.50 ,$695.82 ,$332.50 ,1/4/2022,Y,"$1,192.50 ",DJSTXIL,01/11/2022,221362,1/4/2022
CHZ,TRACMO,10118241,CHI,1899814,88,PR,12/10/2021,CR,CHASSIS RENTAL,$257.50 ,$720.82 ,$257.50 ,12/14/2021,Y,"$2,067.50 ",DJSTXIL,01/25/2022,221499,12/14/2021
YST,DELONG,001206,CHI,1899815,88,PR,1/4/2022,YST,YARD STORAGE CHARGES,$39.80 ,"$1,040.36 ",$39.80 ,1/6/2022,Y,"$2,067.50 ",DJSTXIL,01/11/2022,221369,1/6/2022
CHZ,TRACMO,10125411,CHI,1899815,88,PR,1/14/2022,CR,CHASSIS RENTAL,$643.75 ,"$1,040.36 ",$643.75 ,1/18/2022,Y,"$2,067.50 ",DJSTXIL,02/22/2022,221657,1/18/2022
CHZ,FLEMA,15Z14047919,CHI,1899818,99,PR,12/28/2021,CR,CHASSIS RENTAL,$118.75 ,$777.06 ,$118.75 ,1/4/2022,Y,"$2,043.75 ",DJSTXIL,01/11/2022,221362,1/4/2022
CHZ,TRACMO,10125411,CHI,1899819,99,PR,1/14/2022,CR,CHASSIS RENTAL,$25.75 ,$671.08 ,$25.75 ,1/18/2022,Y,"$1,997.50 ",DJSTXIL,02/22/2022,221657,1/18/2022
YST,DELONG,001206,CHI,1899840,99,PR,1/4/2022,YST,YARD STORAGE CHARGES,$79.60 ,$618.77 ,$79.60 ,1/6/2022,Y,"$1,600.00 ",DJSTXIL,01/11/2022,221369,1/6/2022
CHZ,DIRECT,DZZZ2169650,CHI,1899840,99,PR,12/17/2021,CR,CHASSIS RENTAL,$486.00 ,$618.77 ,$486.00 ,12/27/2021,Y,"$1,600.00 ",DJSTXIL,01/04/2022,221302,12/27/2021
YST,DELONG,001206,CHI,1899841,99,PR,1/4/2022,YST,YARD STORAGE CHARGES,$19.90 ,$693.77 ,$19.90 ,1/6/2022,Y,"$3,177.50 ",DJSTXIL,01/11/2022,221369,1/6/2022
CHZ,DIRECT,DZZZ2173510,CHI,1899841,99,PR,12/23/2021,CR,CHASSIS RENTAL,$360.00 ,$693.77 ,$360.00 ,12/27/2021,Y,"$3,177.50 ",DJSTXIL,01/11/2022,221361,12/27/2021
CHZ,FLEMA,15Z14047919,CHI,1899842,99,PR,12/28/2021,CR,CHASSIS RENTAL,$166.25 ,$796.05 ,$166.25 ,1/4/2022,Y,"$2,052.50 ",DJSTXIL,01/11/2022,221362,1/4/2022
CHZ,TRACMO,10118241,CHI,1899843,99,PR,12/10/2021,CR,CHASSIS RENTAL,$334.75 ,$735.04 ,$334.75 ,12/14/2021,Y,"$1,523.75 ",DJSTXIL,01/25/2022,221499,12/14/2021
MNR,DOWNGA,377222,CHI,1899844,99,PR,12/2/2021,MR,M&R,"$1,965.00 ",$996.04 ,"$1,965.00 ",12/22/2021,Y,"$1,327.50 ",DJSTXIL,01/25/2022,221502,12/22/2021
CHZ,FLEMA,15Z14047919,CHI,1899844,99,PR,12/28/2021,CR,CHASSIS RENTAL,$475.00 ,$996.04 ,$475.00 ,1/4/2022,Y,"$1,327.50 ",DJSTXIL,01/11/2022,221362,1/4/2022
CHZ,DIRECT,DZZZ2169650,CHI,1899845,88,PR,12/17/2021,CR,CHASSIS RENTAL,$414.00 ,$593.77 ,$414.00 ,12/27/2021,Y,"$2,127.50 ",DJSTXIL,01/04/2022,221302,12/27/2021
PD,MSCSC,100001306371P,CHI,1899846,99,PR,1/3/2022,PD,PER DIEM CHARGES,"$1,095.00 ",$596.04 ,"$1,095.00 ",1/5/2022,Y,"$1,547.50 ",DJSTXIL,02/03/2022,ACH,1/5/2022
CHZ,TRACMO,10125411,CHI,1899846,99,PR,1/14/2022,CR,CHASSIS RENTAL,$25.75 ,$596.04 ,$25.75 ,1/18/2022,Y,"$1,547.50 ",DJSTXIL,02/22/2022,221657,1/18/2022
CHZ,TRACMO,10125411,CHI,1899846,99,PR,1/14/2022,CR,CHASSIS RENTAL,$309.00 ,$596.04 ,$309.00 ,1/18/2022,Y,"$1,547.50 ",DJSTXIL,02/22/2022,221657,1/18/2022
PD,MSCSC,100001292434P,CHI,1899847,99,PR,12/29/2021,PD,PER DIEM CHARGES,"$3,430.00 ",$680.04 ,"$3,430.00 ",12/29/2021,Y,"$1,842.50 ",DJSTXIL,01/26/2022,ACH,12/29/2021
YST,DELONG,001206,CHI,1899849,88,PR,1/4/2022,YST,YARD STORAGE CHARGES,$39.80 ,$811.77 ,$39.80 ,1/6/2022,Y,"$1,687.50 ",DJSTXIL,01/11/2022,221369,1/6/2022
PD,MSCSC,100001316203P,CHI,1899849,88,PR,1/4/2022,PD,PER DIEM CHARGES,"$4,935.00 ",$811.77 ,"$4,935.00 ",1/5/2022,Y,"$1,687.50 ",DJSTXIL,02/03/2022,ACH,1/5/2022
CHZ,FLEMA,15Z14047919,CHI,1899851,88,PR,12/28/2021,CR,CHASSIS RENTAL,$23.75 ,$596.04 ,$23.75 ,1/4/2022,Y,"$1,622.50 ",DJSTXIL,01/11/2022,221362,1/4/2022
CHZ,DIRECT,DZZZ2157376,CHI,1899901,99,PR,12/3/2021,CR,CHASSIS RENTAL,$162.00 ,$711.04 ,$162.00 ,12/3/2021,Y,"$1,692.50 ",DJSTXIL,12/17/2021,221219,12/3/2021
PD,COSCNJ,HOU00038800,CHI,1899981,99,PR,12/12/2021,PD,PER DIEM CHARGES,"$1,165.00 ",$891.77 ,"$1,165.00 ",12/13/2021,Y,"$5,227.50 ",DJSTXIL,01/26/2022,ACH,12/13/2021
CHZ,TRACMO,10125411,CHI,1899981,99,PR,1/14/2022,CR,CHASSIS RENTAL,$309.00 ,$891.77 ,$309.00 ,1/18/2022,Y,"$5,227.50 ",DJSTXIL,02/22/2022,221657,1/18/2022
PD,COSCNJ,HOU00036738,CHI,1899982,99,PR,12/6/2021,PD,PER DIEM CHARGES,$500.00 ,$596.04 ,$500.00 ,12/7/2021,Y,"$5,277.50 ",DJSTXIL,01/12/2022,ACH,12/7/2021
CHZ,FLEMA,15Z14047919,CHI,1899982,99,PR,12/28/2021,CR,CHASSIS RENTAL,$47.50 ,$596.04 ,$47.50 ,1/4/2022,Y,"$5,277.50 ",DJSTXIL,01/11/2022,221362,1/4/2022
PD,COSCNJ,HOU00039919,CHI,1899983,99,PR,12/19/2021,PD,PER DIEM CHARGES,"$2,065.00 ","$1,137.77 ","$2,065.00 ",12/22/2021,Y,"$3,920.00 ",DJSTXIL,01/26/2022,ACH,12/22/2021
YST,DELONG,001206,CHI,1899983,99,PR,1/4/2022,YST,YARD STORAGE CHARGES,$119.40 ,"$1,137.77 ",$119.40 ,1/6/2022,Y,"$3,920.00 ",DJSTXIL,01/11/2022,221369,1/6/2022
CHZ,FLEMA,15Z14057893,CHI,1899983,99,PR,1/29/2022,CR,CHASSIS RENTAL,$308.75 ,"$1,137.77 ",$308.75 ,3/1/2022,Y,"$3,920.00 ",DJSTXIL,03/01/2022,221693,3/1/2022
CHZ,FLEMA,15Z14047919,CHI,1900028,99,PR,12/28/2021,CR,CHASSIS RENTAL,$475.00 ,$623.77 ,$475.00 ,1/4/2022,Y,"$1,147.50 ",DJSTXIL,01/11/2022,221362,1/4/2022
CHZ,FLEMA,15Z14057893,CHI,1900028,99,PR,1/29/2022,CR,CHASSIS RENTAL,$237.50 ,$623.77 ,$237.50 ,3/1/2022,Y,"$1,147.50 ",DJSTXIL,03/01/2022,221693,3/1/2022
EQC,FLEMA,PBIN-202112DROP,CHI,1900028,99,PR,12/31/2021,MISC,IMPROPER DROP CHARGES,$200.00 ,$623.77 ,$200.00 ,2/21/2022,Y,"$1,147.50 ",DJSTXIL,02/22/2022,221656,2/21/2022
PD,MSCSC,100001310510P,CHI,1900028,99,PR,1/3/2022,PD,PER DIEM CHARGES,"$4,290.00 ",$623.77 ,"$4,290.00 ",1/5/2022,Y,"$1,147.50 ",DJSTXIL,02/03/2022,ACH,1/5/2022
YST,DELONG,001206,CHI,1900029,99,PR,1/4/2022,YST,YARD STORAGE CHARGES,$59.70 ,$693.77 ,$59.70 ,1/6/2022,Y,"$1,822.50 ",DJSTXIL,01/11/2022,221369,1/6/2022
CHZ,FLEMA,15Z14047919,CHI,1900029,99,PR,12/28/2021,CR,CHASSIS RENTAL,$285.00 ,$693.77 ,$285.00 ,1/4/2022,Y,"$1,822.50 ",DJSTXIL,01/11/2022,221362,1/4/2022
CHZ,FLEMA,15Z14057893,CHI,1900029,99,PR,1/29/2022,CR,CHASSIS RENTAL,$736.25 ,$693.77 ,$736.25 ,3/1/2022,Y,"$1,822.50 ",DJSTXIL,03/01/2022,221693,3/1/2022
PD,MSCSC,100001316771P,CHI,1900029,99,PR,1/4/2022,PD,PER DIEM CHARGES,"$3,645.00 ",$693.77 ,"$3,645.00 ",1/5/2022,Y,"$1,822.50 ",DJSTXIL,02/03/2022,ACH,1/5/2022
CHZ,FLEMA,15Z14047919,CHI,1900115,99,PR,12/28/2021,CR,CHASSIS RENTAL,$95.00 ,$720.82 ,$95.00 ,1/4/2022,Y,"$1,367.50 ",DJSTXIL,01/11/2022,221362,1/4/2022
PD,MSCSC,100001316774P,CHI,1900117,99,PR,1/4/2022,PD,PER DIEM CHARGES,"$3,430.00 ",$921.78 ,"$3,430.00 ",1/5/2022,Y,"$3,197.50 ",DJSTXIL,02/03/2022,ACH,1/5/2022
CHZ,TRACMO,10125411,CHI,1900117,99,PR,1/14/2022,CR,CHASSIS RENTAL,$772.50 ,$921.78 ,$772.50 ,1/18/2022,Y,"$3,197.50 ",DJSTXIL,02/22/2022,221657,1/18/2022
RST,CN,755108777,CHI,1900118,88,PR,12/2/2021,RST,RAIL/PORT STORAGE,"$1,050.00 ",$891.77 ,"$1,050.00 ",12/2/2021,Y,"$2,272.50 ",DJSTXIL,12/14/2021,221183,12/2/2021
PD,MSCSC,100001325240P,CHI,1900118,88,PR,1/5/2022,PD,PER DIEM CHARGES,"$2,140.00 ",$891.77 ,"$2,140.00 ",1/7/2022,Y,"$2,272.50 ",DJSTXIL,02/03/2022,ACH,1/7/2022
CHZ,TRACMO,10125411,CHI,1900118,88,PR,1/14/2022,CR,CHASSIS RENTAL,$386.25 ,$891.77 ,$386.25 ,1/18/2022,Y,"$2,272.50 ",DJSTXIL,02/22/2022,221657,1/18/2022
RST,CN,755108757,CHI,1900119,99,PR,12/2/2021,RST,RAIL/PORT STORAGE,"$1,050.00 ",$948.50 ,"$1,050.00 ",12/2/2021,Y,"$2,522.50 ",DJSTXIL,12/14/2021,221183,12/2/2021
PD,MSCSC,100001299360P,CHI,1900119,99,PR,12/30/2021,PD,PER DIEM CHARGES,$405.00 ,$948.50 ,$405.00 ,1/3/2022,Y,"$2,522.50 ",DJSTXIL,01/26/2022,ACH,1/3/2022
YST,DELONG,001206,CHI,1900120,99,PR,1/4/2022,YST,YARD STORAGE CHARGES,$19.90 ,$967.25 ,$19.90 ,1/6/2022,Y,"$2,422.50 ",DJSTXIL,01/11/2022,221369,1/6/2022
PD,MSCSC,100001325242P,CHI,1900120,99,PR,1/5/2022,PD,PER DIEM CHARGES,"$2,570.00 ",$967.25 ,"$2,570.00 ",1/7/2022,Y,"$2,422.50 ",DJSTXIL,02/03/2022,ACH,1/7/2022
CHZ,FLEMA,15Z14047919,CHI,1900121,99,PR,12/28/2021,CR,CHASSIS RENTAL,$213.75 ,$593.77 ,$213.75 ,1/4/2022,Y,"$2,722.50 ",DJSTXIL,01/11/2022,221362,1/4/2022
EQC,FLEMA,PBIN-202112DROP,CHI,1900121,99,PR,12/31/2021,MISC,IMPROPER DROP CHARGES,$200.00 ,$593.77 ,$200.00 ,2/21/2022,Y,"$2,722.50 ",DJSTXIL,02/22/2022,221656,2/21/2022
PD,MSCSC,100001316772P,CHI,1900121,99,PR,1/4/2022,PD,PER DIEM CHARGES,"$2,785.00 ",$593.77 ,"$2,785.00 ",1/5/2022,Y,"$2,722.50 ",DJSTXIL,02/03/2022,ACH,1/5/2022
CHZ,DIRECT,DZZZ2169650,CHI,1900310,88,PR,12/17/2021,CR,CHASSIS RENTAL,$540.00 ,$643.36 ,$540.00 ,12/27/2021,Y,"$1,192.50 ",DJSTXIL,01/04/2022,221302,12/27/2021
CHZ,TRACMO,10118241,CHI,1900311,88,PR,12/10/2021,CR,CHASSIS RENTAL,$51.50 ,$945.82 ,$51.50 ,12/14/2021,Y,"$1,367.50 ",DJSTXIL,01/25/2022,221499,12/14/2021
EQC,TRACMO,5024019,CHI,1900311,88,PR,1/28/2022,MISC,TOLL VIOLATION - 90009,$20.20 ,$945.82 ,$20.20 ,1/31/2022,Y,"$1,367.50 ",DJSTXIL,03/29/2022,221891,1/31/2022
PD,COSCNJ,HOU00039919,CHI,1900371,99,PR,12/19/2021,PD,PER DIEM CHARGES,"$1,620.00 ",$593.77 ,"$1,620.00 ",12/22/2021,Y,"$2,652.50 ",DJSTXIL,01/26/2022,ACH,12/22/2021
CHZ,TRACMO,10125411,CHI,1900371,99,PR,1/14/2022,CR,CHASSIS RENTAL,$566.50 ,$593.77 ,$566.50 ,1/18/2022,Y,"$2,652.50 ",DJSTXIL,02/22/2022,221657,1/18/2022
PD,COSCNJ,HOU00044445,CHI,1900372,99,PR,1/4/2022,PD,PER DIEM CHARGES,"$1,800.00 ",$854.77 ,"$1,800.00 ",1/5/2022,Y,"$3,177.50 ",DJSTXIL,02/03/2022,ACH,1/5/2022
YST,DELONG,001206,CHI,1900372,99,PR,1/4/2022,YST,YARD STORAGE CHARGES,$119.40 ,$854.77 ,$119.40 ,1/6/2022,Y,"$3,177.50 ",DJSTXIL,01/11/2022,221369,1/6/2022
CHZ,DIRECT,DZZZ2200080,CHI,1900372,99,PR,1/28/2022,CR,CHASSIS RENTAL,$432.00 ,$854.77 ,$432.00 ,2/1/2022,Y,"$3,177.50 ",DJSTXIL,02/16/2022,221594,2/1/2022
PD,COSCNJ,HOU00039919,CHI,1900504,99,PR,12/19/2021,PD,PER DIEM CHARGES,"$3,240.00 ",$897.36 ,"$3,240.00 ",12/22/2021,Y,"$1,583.75 ",DJSTXIL,01/26/2022,ACH,12/22/2021
YST,DELONG,001206,CHI,1900504,99,PR,1/4/2022,YST,YARD STORAGE CHARGES,$79.60 ,$897.36 ,$79.60 ,1/6/2022,Y,"$1,583.75 ",DJSTXIL,01/11/2022,221369,1/6/2022
CHZ,DIRECT,DZZZ2173510,CHI,1900504,99,PR,12/23/2021,CR,CHASSIS RENTAL,$540.00 ,$897.36 ,$540.00 ,12/27/2021,Y,"$1,583.75 ",DJSTXIL,01/11/2022,221361,12/27/2021
PD,COSCNJ,HOU00039919,CHI,1900505,99,PR,12/19/2021,PD,PER DIEM CHARGES,"$3,600.00 ",$721.36 ,"$3,600.00 ",12/22/2021,Y,"$1,417.50 ",DJSTXIL,01/26/2022,ACH,12/22/2021
YST,DELONG,001206,CHI,1900505,99,PR,1/4/2022,YST,YARD STORAGE CHARGES,$79.60 ,$721.36 ,$79.60 ,1/6/2022,Y,"$1,417.50 ",DJSTXIL,01/11/2022,221369,1/6/2022
CHZ,DIRECT,DZZZ2173510,CHI,1900505,99,PR,12/23/2021,CR,CHASSIS RENTAL,$594.00 ,$721.36 ,$594.00 ,12/27/2021,Y,"$1,417.50 ",DJSTXIL,01/11/2022,221361,12/27/2021
CHZ,TRACMO,10125411,CHI,1900506,99,PR,1/14/2022,CR,CHASSIS RENTAL,$154.50 ,$999.04 ,$154.50 ,1/18/2022,Y,"$3,752.50 ",DJSTXIL,02/22/2022,221657,1/18/2022
PD,COSCNJ,HOU00036741,CHI,1900507,99,PR,12/6/2021,PD,PER DIEM CHARGES,$985.00 ,$696.04 ,$985.00 ,12/7/2021,Y,"$3,652.50 ",DJSTXIL,01/12/2022,ACH,12/7/2021
YST,DELONG,001206,CHI,1900507,99,PR,1/4/2022,YST,YARD STORAGE CHARGES,$119.40 ,$696.04 ,$119.40 ,1/6/2022,Y,"$3,652.50 ",DJSTXIL,01/11/2022,221369,1/6/2022
CHZ,DIRECT,DZZZ2169650,CHI,1900507,99,PR,12/17/2021,CR,CHASSIS RENTAL,$234.00 ,$696.04 ,$234.00 ,12/27/2021,Y,"$3,652.50 ",DJSTXIL,01/04/2022,221302,12/27/2021
CHZ,DIRECT,DZZZ2157376,CHI,1900672,99,PR,12/3/2021,CR,CHASSIS RENTAL,$162.00 ,$695.82 ,$162.00 ,12/3/2021,Y,"$1,417.50 ",DJSTXIL,12/17/2021,221219,12/3/2021
CHZ,DIRECT,DZZZ2157376,CHI,1900673,99,PR,12/3/2021,CR,CHASSIS RENTAL,$162.00 ,$720.83 ,$162.00 ,12/3/2021,Y,"$1,417.50 ",DJSTXIL,12/17/2021,221219,12/3/2021
CHZ,TRACMO,10125411,CHI,1900686,99,PR,1/14/2022,CR,CHASSIS RENTAL,$180.25 ,$693.83 ,$180.25 ,1/18/2022,Y,"$1,417.50 ",DJSTXIL,02/22/2022,221657,1/18/2022
PD,COSCNJ,HOU00039919,CHI,1900687,88,PR,12/19/2021,PD,PER DIEM CHARGES,"$2,340.00 ",$718.36 ,"$2,340.00 ",12/22/2021,Y,"$1,442.50 ",DJSTXIL,01/26/2022,ACH,12/22/2021
YST,DELONG,001206,CHI,1900687,88,PR,1/4/2022,YST,YARD STORAGE CHARGES,$99.50 ,$718.36 ,$99.50 ,1/6/2022,Y,"$1,442.50 ",DJSTXIL,01/11/2022,221369,1/6/2022
CHZ,DIRECT,DZZZ2157376,CHI,1900687,88,PR,12/3/2021,CR,CHASSIS RENTAL,$90.00 ,$718.36 ,$90.00 ,12/3/2021,Y,"$1,442.50 ",DJSTXIL,12/17/2021,221219,12/3/2021
YST,DELONG,001206,CHI,1900883,99,PR,1/4/2022,YST,YARD STORAGE CHARGES,$99.50 ,"$1,144.78 ",$99.50 ,1/6/2022,Y,"$2,085.00 ",DJSTXIL,01/11/2022,221369,1/6/2022
PD,MSCSC,100001316773P,CHI,1900883,99,PR,1/4/2022,PD,PER DIEM CHARGES,"$3,645.00 ","$1,144.78 ","$3,645.00 ",1/5/2022,Y,"$2,085.00 ",DJSTXIL,02/03/2022,ACH,1/5/2022
CHZ,FLEMA,15Z14047919,CHI,1900884,99,PR,12/28/2021,CR,CHASSIS RENTAL,$261.25 ,$994.05 ,$261.25 ,1/4/2022,Y,"$1,972.50 ",DJSTXIL,01/11/2022,221362,1/4/2022
EQC,FLEMA,CIT-202112PBIN,CHI,1900884,99,PR,2/8/2022,MISC,TOLL VIOLATION - 9961,$22.60 ,$994.05 ,$22.60 ,2/21/2022,Y,"$1,972.50 ",DJSTXIL,02/22/2022,221656,2/21/2022
PD,MSCSC,100001281045P,CHI,1900884,99,PR,12/16/2021,PD,PER DIEM CHARGES,$540.00 ,$994.05 ,$540.00 ,12/20/2021,Y,"$1,972.50 ",DJSTXIL,01/12/2022,ACH,12/20/2021
PD,MSCSC,100001316202P,CHI,1900886,88,PR,1/4/2022,PD,PER DIEM CHARGES,"$3,645.00 ",$593.77 ,"$3,645.00 ",1/5/2022,Y,"$3,197.50 ",DJSTXIL,02/03/2022,ACH,1/5/2022
RST,CN,755128763,CHI,1900914,99,PR,12/16/2021,RST,RAIL/PORT STORAGE,$825.00 ,$886.50 ,$825.00 ,12/20/2021,Y,"$3,350.00 ",DJSTXIL,12/28/2021,221283,12/20/2021
PD,COSCNJ,HOU00046658,CHI,1900914,99,PR,1/9/2022,PD,PER DIEM CHARGES,"$2,160.00 ",$886.50 ,"$2,160.00 ",1/10/2022,Y,"$3,350.00 ",DJSTXIL,02/03/2022,ACH,1/10/2022
CHZ,DIRECT,DZZZ2194012,CHI,1900914,99,PR,1/21/2022,CR,CHASSIS RENTAL,$468.00 ,$886.50 ,$468.00 ,1/25/2022,Y,"$3,350.00 ",DJSTXIL,02/09/2022,221571,1/25/2022
RST,CN,755120755,CHI,1900915,99,PR,12/10/2021,RST,RAIL/PORT STORAGE,$975.00 ,$716.50 ,$975.00 ,12/10/2021,Y,"$4,877.50 ",DJSTXIL,12/17/2021,221212,12/10/2021
PD,COSCNJ,HOU00042414,CHI,1900915,99,PR,12/26/2021,PD,PER DIEM CHARGES,"$1,345.00 ",$716.50 ,"$1,345.00 ",12/27/2021,Y,"$4,877.50 ",DJSTXIL,02/03/2022,ACH,12/27/2021
YST,DELONG,001206,CHI,1900915,99,PR,1/4/2022,YST,YARD STORAGE CHARGES,$19.90 ,$716.50 ,$19.90 ,1/6/2022,Y,"$4,877.50 ",DJSTXIL,01/11/2022,221369,1/6/2022
CHZ,DIRECT,DZZZ2178408,CHI,1900915,99,PR,12/30/2021,CR,CHASSIS RENTAL,$252.00 ,$716.50 ,$252.00 ,1/3/2022,Y,"$4,877.50 ",DJSTXIL,01/11/2022,221361,1/3/2022
RST,CN,755109924,CHI,1900916,99,PR,12/3/2021,RST,RAIL/PORT STORAGE,$550.00 ,"$1,111.77 ",$550.00 ,12/3/2021,Y,"$2,283.75 ",DJSTXIL,12/14/2021,221183,12/3/2021
PD,COSCNJ,HOU00039919,CHI,1900916,99,PR,12/19/2021,PD,PER DIEM CHARGES,"$1,165.00 ","$1,111.77 ","$1,165.00 ",12/22/2021,Y,"$2,283.75 ",DJSTXIL,01/26/2022,ACH,12/22/2021
CHZ,TRACMO,10125411,CHI,1900916,99,PR,1/14/2022,CR,CHASSIS RENTAL,$381.50 ,"$1,111.77 ",$381.50 ,1/18/2022,Y,"$2,283.75 ",DJSTXIL,02/22/2022,221657,1/18/2022
RST,CN,755159575,CHI,1900917,99,PR,1/8/2022,RST,RAIL/PORT STORAGE,$50.00 ,$693.77 ,$50.00 ,1/10/2022,Y,"$1,347.50 ",DJSTXIL,01/18/2022,221441,1/10/2022
PD,MSCSC,100001441319P,CHI,1900917,99,PR,2/16/2022,PD,PER DIEM CHARGES,"$1,710.00 ",$693.77 ,"$1,710.00 ",2/17/2022,Y,"$1,347.50 ",DJSTXIL,,,2/17/2022
CHZ,DIRECT,DCZZ2216569,CHI,1900918,99,PR,2/18/2022,CR,CHASSIS RENTAL,$495.00 ,$598.32 ,$495.00 ,3/18/2022,Y,"$1,147.50 ",DJSTXIL,03/18/2022,221819,3/18/2022
PD,MSCSC,100001473005P,CHI,1900918,99,PR,2/28/2022,PD,PER DIEM CHARGES,"$2,785.00 ",$598.32 ,"$2,785.00 ",3/1/2022,Y,"$1,147.50 ",DJSTXIL,,,3/1/2022
RST,CN,755155151,CHI,1900919,88,PR,1/6/2022,RST,RAIL/PORT STORAGE,$375.00 ,$693.77 ,$375.00 ,1/6/2022,Y,"$1,547.50 ",DJSTXIL,01/11/2022,221372,1/6/2022
CHZ,DIRECT,DCZZ2205098,CHI,1900919,88,PR,2/4/2022,CR,CHASSIS RENTAL,$546.25 ,$693.77 ,$546.25 ,3/18/2022,Y,"$1,547.50 ",DJSTXIL,03/18/2022,221819,3/18/2022
PD,MSCSC,100001441328P,CHI,1900919,88,PR,2/16/2022,PD,PER DIEM CHARGES,"$3,645.00 ",$693.77 ,"$3,645.00 ",2/17/2022,Y,"$1,547.50 ",DJSTXIL,,,2/17/2022
RST,CN,755127419,CHI,1900920,88,PR,12/15/2021,RST,RAIL/PORT STORAGE,"$2,400.00 ",$616.50 ,"$2,400.00 ",12/20/2021,Y,"$3,672.50 ",DJSTXIL,12/28/2021,221283,12/20/2021
PD,MSCSC,100001397070P,CHI,1900920,88,PR,2/3/2022,PD,PER DIEM CHARGES,"$4,935.00 ",$616.50 ,"$4,935.00 ",2/4/2022,Y,"$3,672.50 ",DJSTXIL,03/15/2022,ACH,2/4/2022
RST,CN,755129194,CHI,1900921,99,PR,12/16/2021,RST,RAIL/PORT STORAGE,$975.00 ,$887.25 ,$975.00 ,12/20/2021,Y,"$2,172.50 ",DJSTXIL,12/28/2021,221283,12/20/2021
PD,MSCSC,100001416037P,CHI,1900921,99,PR,2/9/2022,PD,PER DIEM CHARGES,"$6,440.00 ",$887.25 ,"$6,440.00 ",2/10/2022,Y,"$2,172.50 ",DJSTXIL,,,2/10/2022
RST,CN,755130311,CHI,1900922,99,PR,12/16/2021,RST,RAIL/PORT STORAGE,"$1,900.00 ",$616.50 ,"$1,900.00 ",12/20/2021,Y,"$3,147.50 ",DJSTXIL,12/28/2021,221283,12/20/2021
