RECNO,BILLTOID,BILLTO,PICKUPDATE,SCHEDPUTIME,BOLNUMBER,CUST_REF,Container No,TERMINAL
1911822,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUKULM14457700,,SEGU569605,CHI
1913380,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYHANC08064400,,SEGU446171,CHI
1911625,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SGN1430498,,SEGU463386,DAL
1910040,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/9/2022,2359,HDMUSGNM07009303,14391330,SEGU585065,CHI
1910098,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/9/2022,2359,HDMUSZPM10659700,14439756,SEGU580149,DIT
1912401,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSZPC06454402,,SEGU505230,ATL
1913280,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,AYN0914973,,SEGU608828,DAL
1910434,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM01881600,,SEGU584394,CHI
1911990,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/30/2022,2359,COSU6324551850,14429848,SEGU488772,CHI
1911991,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/30/2022,2359,COSU6324551850,14446828,SEGU698450,CHI
1911759,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/22/2022,2359,THD0880158G,14445546,SEGU482836,ATL
1910435,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM65881500,,SEGU602263,CHI
1912402,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSZPC06454400,,SEGU509602,ATL
1910952,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYLCBB48777700,,SEGU440234,ATL
1910547,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/4/2022,2359,HDMULCHM60536700,14391381,SEGU604224,CHI
1910515,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/3/2022,2359,HDMULCHM91442400,14391764,SEGU582935,CHI
1908486,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/25/2022,2359,HDMULCHM10594600,14378267,SEGU569556,CHI
1910436,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/21/2022,2359,HDMUSELM84840000,14431069,SEGU604199,CHI
1911762,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/25/2022,2359,THD0880157B,,SEKU450019,ATL
1912686,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYLCBC06890500,,SEKU441140,CHI
1913293,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,COSU6323517921,,SEKU458008,CHI
1910882,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/23/2022,2359,THD0872215,14449934,SEKU453070,DAL
1912767,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,THD0885794,,SEKU589390,DAL
1912766,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,THD0885794,,SEKU451048,DAL
1911761,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/23/2022,2359,THD0880156C,14445549,SEKU449351,ATL
1911614,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,AYN0913119,,SEKU578082,DAL
1911612,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,AYN0913119,,SEKU453601,DAL
1911760,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/23/2022,2359,THD0880158C,14445547,SEKU434833,ATL
1912737,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,THD0880123B,,SEKU564066,DAL
1911610,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,AYN0907152,,SEKU451762,DAL
1909825,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/23/2022,2359,MAEUS00563368,14419440,SEKU460694,ATL
1913430,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSZP2M1048600,,SMCU108456,CHI
1913431,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSZP2M1049700,,SMCU121056,CHI
1908546,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/7/2022,2359,SHSB1JB39100,14401199,SMCU126025,DIT
1908583,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSZP2L9094700,,SMCU130618,CHI
1910102,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSEL2G1144600,,SMCU114298,CHI
1908597,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSZP2L9069200,,SMCU110922,CHI
1908596,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSZP2L9065500,,SMCU125457,CHI
1908582,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSZP2L9094700,,SMCU114177,CHI
1908581,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSZP2L9094700,,SMCU113782,CHI
1908585,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSZP2L9064400,,SMCU108478,CHI
1908586,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSZP2L9068100,,SMCU120480,CHI
1908595,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSZP2L9067700,,SMCU121016,CHI
1908594,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSZP2L9066600,,SMCU120848,CHI
1912707,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSZP2M0790200,,SMCU120924,CHI
1912829,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSZP2M0685500,,SMCU115636,CHI
1912248,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSEL2F7048701,,SMCU126612,DIT
1912245,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSEL2F7048701,,SMCU124285,DIT
1912244,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSEL2F7048701,,SMCU124073,DIT
1912241,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSEL2F7048701,,SMCU112397,DIT
1912242,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSEL2F7048702,,SMCU116876,DIT
1912243,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSEL2F7048701,,SMCU122937,DIT
1912240,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSEL2F7048701,,SMCU103884,DIT
1912247,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSEL2F7048701,,SMCU125917,DIT
1912246,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSEL2F7048701,,SMCU125867,DIT
1912828,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSZP2M0615500,,SMCU107881,CHI
1912706,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSZP2M0790200,,SMCU118850,CHI
1912708,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSZP2M0790200,,SMCU126063,CHI
1912709,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSZP2M0790200,,SMCU700675,CHI
1912712,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSZP2M0693400,,SMCU120494,CHI
1912827,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSZP2M0682200,,SMCU107750,CHI
1911652,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSZP2M0767600,,SMCU112033,DIT
1911653,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSZP2M0742600,,SMCU127932,DIT
1912252,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSEL2F7048702,,SMCU129948,DIT
1912251,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSEL2F7048702,,SMCU129625,DIT
1912250,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSEL2F7048701,,SMCU127885,DIT
1912253,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSEL2F7048701,,SMCU701186,DIT
1912831,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSZP2M0872300,,SMCU114320,CHI
1912830,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSZP2M0684400,,SMCU117119,CHI
1912249,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSEL2F7048701,,SMCU127327,DIT
1909826,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/17/2022,2359,MAEUS00563373,14419441,SUDU697241,ATL
1910282,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,COSU6321102310,,TCKU787737,CHI
1910977,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/30/2022,2359,THD0880169F,14439334,TCKU629482,ATL
1910978,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/26/2022,2359,THD0880167,14439360,TCKU637729,ATL
1912268,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,MAEUS00645019,,TCKU719606,ATL
1912042,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SWA0346253,,TCKU956806,CHI
1910985,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/26/2022,2359,THD0880169A,14439332,TCKU622974,ATL
1912089,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,AYN0913122,,TCKU790530,CHI
1913475,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSELC30011401,,TCKU721799,CHI
1912800,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,THD0889209C,,TCKU783573,DIT
1912768,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,THD0885794,,TCKU635875,DAL
1912222,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/24/2022,2359,MAEUS00587863,14449036,TCKU752088,ATL
1912769,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,THD0885794,,TCKU733476,DAL
1911938,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/29/2022,2359,THD0880166,14439363,TCKU776921,ATL
1913392,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYHANC09489900,,TCKU722288,CHI
1910941,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,AYN0901983B,,TCKU734238,CHI
1911675,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/14/2022,2359,AYN0885962,14424986,TCKU635200,DAL
1908489,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/26/2022,2359,HDMULCHM34572718,14378277,TCKU611791,CHI
1908488,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/18/2022,2359,HDMULCHM34572758,14347074,TCKU610886,CHI
1912267,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,MAEUS00645011,,TCKU678223,ATL
1911992,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/29/2022,2359,COSU6324551850,14429838,TCKU766399,CHI
1910437,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/28/2022,2359,HDMUSELM45830200,14444567,TCKU609011,CHI
1911763,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/23/2022,2359,THD0880156A,14445560,TCKU705945,ATL
1913078,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSGNC49044300,,TCLU669539,DIT
1913079,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSZPC37448401,,TCLU794308,DIT
1913080,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYLCBC05790300,,TCLU882363,DIT
1910962,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/18/2022,2359,ONEYSZPBAK432302,14432318,TCLU955928,DIT
1908718,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/17/2022,2359,CMDUSEL1309543,14358640,TCLU505724,ATL
1912801,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,THD0889209A,,TCLU958184,DIT
1912687,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYLCBC06890500,,TCLU625398,CHI
1912787,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSZPC06454401,,TCLU565113,ATL
1913544,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYHANC07375800,,TCLU780804,CHI
1913545,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYHANC07375801,,TCLU790512,CHI
1910955,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYLCBB48813500,,TCLU947090,ATL
1913077,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYLCBC06893800,,TCLU486770,DIT
1913076,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSELC30011403,,TCLU460745,DIT
1911823,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUKULM73733500,,TCLU508616,CHI
1911824,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUKULM14457700,,TCLU801794,CHI
1910301,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,CMDUGGZ1627216,,TCLU653433,CHI
1910953,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/22/2022,2359,ONEYPKGB97319800,14445564,TCLU637931,ATL
1911627,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/23/2022,2359,SGN1430498,14449935,TCLU864477,DAL
1911861,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/18/2022,2359,ONEYLCBC01822900,14432319,TCLU637226,DIT
1910954,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYLCBB48776600,,TCLU642183,ATL
1912530,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSELC24682700,,TCLU797478,CHI
1911986,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/17/2022,2359,ONEYSZPBZ0518600,14429843,TCLU946539,CHI
1911764,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/22/2022,2359,THD0880156B,14445561,TCLU180136,ATL
1910669,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/16/2022,2359,ONEYLCBC01831900,14425294,TCLU165253,DIT
1910670,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/16/2022,2359,ONEYLCBC01828800,14425293,TCLU673378,DIT
1910671,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/16/2022,2359,ONEYLCBC01831900,14446826,TCLU846529,DIT
1911765,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/23/2022,2359,THD0880158E,14445563,TCLU626463,ATL
1910438,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM65881548,,TCLU517691,CHI
1910439,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM65881500,,TCLU518083,CHI
1910440,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM01881600,,TCLU532057,CHI
1910441,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/23/2022,2359,HDMUSELM08782900,,TCLU817202,CHI
1910442,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM25264500,,TCLU872466,CHI
1912531,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/30/2022,2359,ONEYSELC24682700,14459604,TCLU890438,CHI
1910668,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/16/2022,2359,ONEYLCBC01831900,14425295,TCLU158754,DIT
1910619,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/9/2022,2359,ONEYPKGB97759900,14439757,TCLU491333,DIT
1911792,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,THD0880111C,,TCLU658436,DAL
1908490,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/1/2022,2359,HDMULCHM40018300,14378631,TCLU558975,CHI
1910694,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/17/2022,2359,ONEYSZPC06462304,14425283,TCLU837878,DIT
1908491,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/21/2022,2359,HDMULCHM34572768,14366963,TCLU629496,CHI
1910678,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/17/2022,2359,ONEYLCBC01831900,14446825,TCLU946413,DIT
1913395,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSZPC40974908,,TCLU560934,CHI
1912529,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/30/2022,2359,ONEYSELC24682700,14459601,TCLU513377,CHI
1913393,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYHANC09489900,,TCLU569728,CHI
1911739,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/17/2022,2359,ONEYSELBF9959806,14421694,TCLU624045,ATL
1913474,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSELC32525932,,TCLU780071,CHI
1907886,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/26/2022,2359,HDMULCHM77375100,14375536,TCLU894450,CHI
1911603,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/19/2022,2359,ONEYSZPC06467802,14440063,TCLU832244,DIT
1911602,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/17/2022,2359,ONEYSZPC06470903,14425271,TCLU647943,DIT
1911601,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/17/2022,2359,ONEYSZPC06467800,14425276,TCLU644572,DIT
1911600,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/19/2022,2359,ONEYSZPC06470902,14440065,TCLU461735,DIT
1911066,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/15/2022,2359,ONEYPKGB97257900,14402697,TCLU882351,CHI
1912370,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYPKGC07145400,,TCLU794184,CHI
1912532,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/31/2022,2359,ONEYSELC24682700,14459606,TCLU892162,CHI
1909965,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/15/2022,2359,COSU6323458185,14397269,TCLU158278,CHI
1912534,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYLCBC05284800,,TCLU953264,CHI
1909942,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,COSU6321103420,,TCLU870667,CHI
1912535,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSELC24682700,14453379,TCLU969434,CHI
1908495,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/25/2022,2359,HDMULCHM10594600,14378278,TCNU696632,CHI
1908493,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/20/2022,2359,HDMULCHM3457270C,14366965,TCNU170091,CHI
1908494,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/22/2022,2359,HDMULCHM34572748,14366967,TCNU687409,CHI
1908496,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/25/2022,2359,HDMULCHM40018300,14378421,TCNU790346,CHI
1911864,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/17/2022,2359,ONEYSZPBAK433401,14432315,TCNU743468,DIT
1911863,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/18/2022,2359,ONEYLCBC01824400,14432317,TCNU426657,DIT
1908218,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/18/2022,2359,HDMULCHM40018300,14347075,TCNU623184,CHI
1912269,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,MAEUS00645022,,TCNU448153,ATL
1911862,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/18/2022,2359,ONEYLCBC01815400,14432316,TCNU443473,DIT
1912088,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,2359,AYN0913122,,TCNU471380,CHI
1912536,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/29/2022,2359,ONEYSELC24682700,14459607,TCNU410339,CHI
1912537,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSELC24682701,,TCNU486782,CHI
1907888,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/21/2022,2359,HDMULCHM10986400,14366966,TCNU508774,CHI
1907887,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/23/2022,2359,HDMULCHM71269900,14358240,TCNU176723,CHI
1908556,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/4/2022,2359,ONEYSZPBZ4419300,14394692,TCNU574323,DIT
1908492,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/21/2022,2359,HDMULCHM23694900,14366964,TCNU169817,CHI
1912030,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/22/2022,2359,ONEYSZPC10229600,14446827,TCNU587433,CHI
1912033,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/21/2022,2359,ONEYSZPC10151700,14446845,TCNU411887,CHI
1908565,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/1/2022,2359,HDMUSZPM71753600,14389250,TCNU176680,DIT
1912688,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYLCBC06890500,,TCNU691833,CHI
1912538,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/30/2022,2359,ONEYSELC24682700,14459608,TCNU747235,CHI
1910443,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM25529532,,TCNU422864,CHI
1913101,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSGNC35295600,14515537,TCNU523660,DIT
1910702,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/4/2022,2359,HDMULCHM36732700,14391941,TCNU723695,CHI
1912726,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,AYN0907726,,TCNU445894,DAL
1910696,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/27/2022,2359,ONEYSZPC06462302,14453372,TCNU436470,DIT
1912713,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SWA0348768,,TCNU608442,CHI
1912705,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,MEDUV5459957,,TCNU291038,CHI
1913100,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSELC30011403,,TCNU489436,DIT
1910680,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/17/2022,2359,ONEYLCBC01831900,14446823,TCNU598921,DIT
1910679,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/17/2022,2359,ONEYLCBC01831900,14446824,TCNU592580,DIT
1910719,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/17/2022,2359,CMDUSEL1307358,14418967,TCNU979319,CHI
1910598,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/9/2022,2359,HDMUSZPM16796500,14411588,TCNU454546,DIT
1910444,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/28/2022,2359,HDMUSELM01881600,14444023,TCNU504268,CHI
1910445,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM57282400,,TCNU507300,CHI
1910446,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM93383004,,TCNU509875,CHI
1910447,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM08782901,,TCNU510016,CHI
1913102,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYLCBC06893800,,TCNU599612,DIT
1913103,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSELC30011403,,TCNU636865,DIT
1910448,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM25529512,,TCNU570628,CHI
1913104,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSZPM98083100,,TCNU677537,DIT
1910449,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/24/2022,2359,HDMUSELM31644400,14453757,TCNU570720,CHI
1913097,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSGNC49044300,,TCNU259615,DIT
1910283,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,COSU6321102310,,TCNU107373,CHI
1910284,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,COSU6321102310,,TCNU326193,CHI
1910285,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,COSU6321102310,,TCNU514110,CHI
1911493,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMULCHM35165803,,TCNU764763,CHI
1911492,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMULCHM35165800,,TCNU704057,CHI
1911491,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMULCHM35165803,,TCNU687303,CHI
1911490,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMULCHM35165802,,TCNU616294,CHI
1912944,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM14716700,,TCNU740896,CHI
1911415,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/14/2022,2359,ONEYSELBF9959800,14414297,TCNU715906,ATL
1911767,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/17/2022,2359,ONEYSELBF9959808,14421695,TCNU441163,ATL
1913300,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,MEDUT5769673,,TCNU141650,DAL
1911488,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/15/2022,2359,HDMUSHAM31067800,14415194,TCNU651245,CHI
1913098,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYLCBC06893800,,TCNU378514,DIT
1911768,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/17/2022,2359,ONEYSELBF9959801,14421696,TCNU562335,ATL
1911769,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/17/2022,2359,ONEYSELBF9959809,14421697,TCNU594553,ATL
1911770,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/17/2022,2359,ONEYSELBF9959805,14421699,TCNU948719,ATL
1913099,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSELC30011403,,TCNU468350,DIT
1911416,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/14/2022,2359,ONEYSELBF9959802,14414363,TCNU908072,ATL
1910956,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYLCBB48775500,,TCNU428225,ATL
1908719,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/26/2022,2359,HDMUSELM11942900,14402892,TCNU740423,ATL
1911604,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/17/2022,2359,ONEYSZPC06467804,14425273,TCNU895128,DIT
1909827,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/17/2022,2359,MAEUS00563356,14419442,TCNU849711,ATL
1908776,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/26/2022,2359,HDMUSELM84255600,14402893,TCNU771217,ATL
1913547,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYHANC07401500,,TCNU597462,CHI
1910022,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/26/2022,2359,COSU6324739602,14442968,TCNU369786,CHI
1911743,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/24/2022,2359,HDMUSHAM24628100,14432945,TCNU677411,CHI
1910850,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYPKGC07139700,,TCNU359476,DIT
1913497,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,AYN0923319,,TCNU288345,ATL
1913498,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,AYN0925087,,TCNU543221,ATL
1908609,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/28/2022,2359,ONEYSZPBX5500704,14386796,TCNU199667,CHI
