RECNO,BILLTOID,BILLTO,PICKUPDATE,SCHEDPUTIME,BOLNUMBER,CUST_REF,Container No,TERMINAL
1910370,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM08782901,,KOCU501137,CHI
1910334,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM08782901,,KOCU478719,CHI
1910386,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/28/2022,2359,HDMUSELM93329210,14450522,KOCU524743,CHI
1910335,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/25/2022,2359,HDMUSELM08782901,,KOCU479366,CHI
1910336,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM25264500,,KOCU480363,CHI
1910337,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM65881500,,KOCU482457,CHI
1910338,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM25529538,,KOCU482929,CHI
1910924,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM57282400,,KOCU444786,CHI
1908337,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/24/2022,2359,HDMULCHM34572778,14374780,KOCU457841,CHI
1908336,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/22/2022,2359,HDMULCHM34572788,14370881,KOCU450396,CHI
1910432,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM01881600,,KOCU525130,CHI
1910431,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM01881600,,KOCU525109,CHI
1910343,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/23/2022,2359,HDMUSELM08782901,,KOCU487077,CHI
1910385,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/28/2022,2359,HDMUSELM62611200,14444585,KOCU524207,CHI
1910384,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM08782900,,KOCU523805,CHI
1910383,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/28/2022,2359,HDMUSELM16605000,14444028,KOCU522335,CHI
1910339,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM01881600,,KOCU483094,CHI
1908335,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/21/2022,2359,HDMULCHM34572758,14366940,KOCU447460,CHI
1910340,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/28/2022,2359,HDMUSELM01881600,14443818,KOCU483095,CHI
1910382,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/22/2022,2359,HDMUSELM08782901,14427085,KOCU520691,CHI
1910341,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM25264500,,KOCU483980,CHI
1910342,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,211311090,,KOCU486562,CHI
1908334,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/24/2022,2359,HDMULCHM3457270A,14374772,KOCU443741,CHI
1910371,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/25/2022,2359,HDMUSELM25264500,,KOCU501170,CHI
1910933,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSZPM03233100,,KOCU447155,CHI
1910928,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/25/2022,2359,HDMUKULM38278700,14440632,KOCU518247,CHI
1907837,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/26/2022,2359,HDMULCHM16273700,14378233,KOCU404712,CHI
1907873,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/25/2022,2359,HDMULCHM90191200,14374784,KOCU470759,CHI
1907836,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/26/2022,2359,HDMULCHM06341700,14374648,KOCU403544,CHI
1907840,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/19/2022,2359,HDMULCHM39989100,14367261,KOCU430867,CHI
1911654,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/17/2022,2359,HDMUKULM89052400,14425287,KOCU427861,DIT
1908217,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/18/2022,2359,HDMULCHM66083900,14346669,KOCU457640,CHI
1910934,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/21/2022,2359,HDMUKULM97669700,14428569,KOCU480406,CHI
1910936,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/21/2022,2359,HDMULCHM53437001,,KOCU430881,CHI
1908219,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/18/2022,2359,HDMULCHM66083900,14346892,KOCU461550,CHI
1907874,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/24/2022,2359,HDMULCHM87144100,14346894,KOCU471238,CHI
1907875,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/19/2022,2359,HDMULCHM48714900,14367262,KOCU473798,CHI
1910938,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/21/2022,2359,HDMULCHM53437002,,KOCU442944,CHI
