RECNO ,Ter ,SSL,ID ,Consignee,Container No,Chassis No,,,, EL Bill,,WO #,BOL #,,
1931778,ATL,ONE,COOPMO,FUTURE FORWARDING COMPANY,TCLU675649,APMZ-400205,11/28/2022,12/08/2022,12/02/2022,440.00 ,0.00 ,960.20 ,1047385177-2021,ONEYSH2FC2482900,11/28/2022
1931779,ATL,ONE,COOPMO,FUTURE FORWARDING COMPANY,GAOU655002,AIMZ-472766,11/28/2022,12/05/2022,12/01/2022,320.00 ,0.00 ,840.20 ,1047385177-2021,ONEYSH2FC2482900,11/28/2022
1931784,ATL,ONE,COOPMO,COOPER LIGHTING c/o CASS,UETU403386,EMCZ-542578,11/29/2022,12/06/2022,12/06/2022,320.00 ,0.00 ,916.70 ,1047009732-2021,ONEYSH2FC2455900,11/29/2022
1931785,ATL,ONE,ONEVA,MAKITA CORP.,SEGU507540,TLXZ-432927,11/09/2022,11/10/2022,,0.00 ,0.00 ,688.50 ,CHI4470336-CHI32808336,SH0YJ0930900,11/10/2022
1931786,ATL,ONE,ONEVA,MAKITA CORP.,DRYU412357,YMLZ-425288,11/10/2022,11/14/2022,,0.00 ,0.00 ,688.50 ,CHI4470336-CHI32808335,SH0YJ0930900,11/10/2022
1931787,ATL,ONE,ONEVA,MAKITA CORP.,TGHU611617,EMCZ-947577,11/10/2022,11/10/2022,,0.00 ,0.00 ,688.50 ,CHI4470357-CHI32808437,SH0YJ0930900,11/10/2022
1931793,ATL,ONE,COOPMO,COOPER LIGHTING c/o CASS,FSCU996408,ZCSZ-942190,11/28/2022,12/12/2022,12/09/2022,1301.30 ,0.00 ,"1,898.00 ",1047212715-2021,ONEYSH2FC2454800,11/28/2022
1933223,ATL,MSC,QUARTNY,TOM FOUTS TIRE,MSMU519969,NAPZ-800664,11/09/2022,11/09/2022,,237.50 ,0.00 ,"1,193.75 ",OINYC-22090076,MEDUI0994745,11/09/2022
1933251,ATL,MSC,QUARTNY,PEACH TIRE DISTRIBUTORS,MSCU704732,AIMZ-473381,11/11/2022,11/11/2022,,95.00 ,150.00 ,"1,071.20 ",OINYC-22090094,MEDUI0997102,11/11/2022
1933252,ATL,MSC,QUARTNY,TOM FOUTS TIRE,TGHU601782,NAPZ-423556,11/08/2022,11/08/2022,,0.00 ,0.00 ,925.65 ,OINYC-22090095,MEDUI0997086,11/08/2022
1933348,ATL,ONE,COOPMO,COOPER LIGHTING c/o CASS,TRHU804175,ZCSZ-964309,11/18/2022,12/01/2022,11/29/2022,560.00 ,0.00 ,"1,156.70 ",1048118706-2021,XMNC78674300,11/18/2022
1933349,ATL,ONE,COOPMO,COOPER LIGHTING c/o CASS,NYKU514643,NAPZ-174111,11/21/2022,12/02/2022,12/01/2022,480.00 ,0.00 ,"1,076.70 ",1048118706-2021,XMNC78674300,11/21/2022
1933351,ATL,ONE,COOPMO,COOPER LIGHTING c/o CASS,ONEU024118,EMCZ-947928,11/20/2022,12/01/2022,11/29/2022,480.00 ,0.00 ,"1,076.70 ",1048118706-2021,XMNC78674300,11/21/2022
1933373,SAV,ZIM,KUEHNC,SHAWMUT CORP,ZCSU734948,MSCZ-423840,11/04/2022,11/08/2022,,-259.11,0.00 ,"2,451.39 ",9075210179-01,ZIMUNGB20071470,11/07/2022
1933374,SAV,ZIM,KUEHNC,SHAWMUT CORP,CAAU522045,TAXZ-477881,11/16/2022,11/22/2022,,-38.80,0.00 ,"2,671.70 ",9075210185-01,ZIMUNGB20071505,11/17/2022
1933383,ATL,MSK,SAMSDTX,NEOVIA LOGISTICS,CAAU594861,MAEC-671797,11/18/2022,12/03/2022,11/29/2022,0.00 ,"1,896.45 ","2,742.90 ",SEA0040752,MAEUS01187595,11/21/2022
1933384,ATL,MSK,SAMSDTX,NEOVIA LOGISTICS,CAAU641804,TAXZ-478258,11/18/2022,12/02/2022,11/28/2022,0.00 ,"1,856.45 ","2,702.90 ",SEA0040753,MAEUS01187588,11/21/2022
1933385,ATL,MSK,SAMSDTX,NEOVIA LOGISTICS,GESU600210,NYKZ-415943,11/18/2022,12/02/2022,11/28/2022,0.00 ,"1,856.45 ","2,702.90 ",SEA0040759,MAEUS01187587,11/21/2022
1932786,ATL,HII,SAMSDTX,LOWES ADC 3461,KOCU524749,APMZ-425763,11/04/2022,11/18/2022,11/07/2022,0.00 ,860.00 ,"2,114.83 ",SEA0039760,HDMULCHM55239604,11/05/2022
1932787,ATL,ONE,SAMSDTX,LOWES ADC 3461,BEAU547081,SMLC-485612,11/14/2022,12/05/2022,11/22/2022,0.00 ,"2,904.83 ","4,159.66 ",SEA0039741,ONEYLCBC28538800,11/20/2022
1932788,ATL,ONE,SAMSDTX,LOWES ADC 3461,FCIU878337,TAXZ-140511,11/14/2022,12/02/2022,11/21/2022,0.00 ,"2,354.83 ","3,609.66 ",SEA0039744,ONEYLCBC29035800,11/17/2022
1932836,SAV,ZIM,HECNY,AMERICAN TEXTILE SYSTEMS,ZCSU726136,CCLZ-440677,11/22/2022,11/29/2022,,810.00 ,0.00 ,"2,194.72 ",NSHA22091125,ZIMUSNH7455618,11/28/2022
1932873,SAV,HII,SAMSDTX,NEOVIA LOGISTICS,TRLU752385,SDSZ-400674,11/09/2022,11/21/2022,11/14/2022,0.00 ,300.00 ,"2,230.50 ",EDA0000723,HDMUSELM16820700,11/10/2022
1932903,ATL,CMA,COOPMO,FUTURE FORWARDING COMPANY,TLLU491942,TAXZ-478121,11/14/2022,11/21/2022,11/17/2022,886.10 ,0.00 ,"1,406.30 ",1047877459-2021,TWN0720910,11/14/2022
1932904,ATL,ONE,COOPMO,COOPER LIGHTING c/o CASS,ONEU008356,FVXZ-708420,11/08/2022,11/14/2022,11/11/2022,280.00 ,0.00 ,876.70 ,1046816221-2021,ONEYSH2FC2472800,11/08/2022
1932905,ATL,ONE,COOPMO,COOPER LIGHTING c/o CASS,BMOU147990,APMZ-233031,11/09/2022,11/22/2022,11/14/2022,560.00 ,0.00 ,"1,156.70 ",1046575427-2021,ONEYSH2FC2309700,11/09/2022
1932906,ATL,ONE,COOPMO,COOPER LIGHTING c/o CASS,ONEU027730,HDMZ-413340,11/08/2022,11/18/2022,11/15/2022,440.00 ,0.00 ,"1,036.70 ",1046575427-2021,ONEYSH2FC2309700,11/08/2022
1932907,ATL,CMA,COOPMO,FUTURE FORWARDING COMPANY,CAAU597753,APMZ-426894,12/06/2022,12/09/2022,12/09/2022,861.30 ,0.00 ,"1,378.10 ",1047932990-2021,SGN1684310,12/06/2022
1932908,ATL,CMA,COOPMO,FUTURE FORWARDING COMPANY,TCNU501811,EMCZ-947306,12/07/2022,12/21/2022,12/14/2022,710.00 ,0.00 ,"1,226.80 ",1047932990-2021,SGN1684310,12/07/2022
1932909,ATL,CMA,COOPMO,FUTURE FORWARDING COMPANY,TCNU297102,NAPZ-422841,12/07/2022,12/16/2022,12/16/2022,400.00 ,0.00 ,916.80 ,1047932990-2021,SGN1684310,12/07/2022
1932910,ATL,CMA,COOPMO,FUTURE FORWARDING COMPANY,CMAU680029,DCNZ-407209,11/08/2022,11/15/2022,11/09/2022,470.00 ,0.00 ,990.20 ,1046967575-2021,CMDUSGN1676122,11/08/2022
1932911,ATL,CMA,COOPMO,COOPER LIGHTING c/o CASS,TCLU659628,EMCZ-101500,11/03/2022,11/16/2022,11/14/2022,1276.10 ,0.00 ,"1,872.80 ",1047583554-2021,THD0971429,11/03/2022
1932956,ATL,ONE,ONEVA,MAKITA CORP.,FDCU058308,FLGZ-435363,11/30/2022,11/30/2022,,0.00 ,0.00 ,680.85 ,CHI4519188-CHI33210127,NGOC23240500,11/30/2022
1932957,SAV,WHL,PREMICA,ACME FURNITURE,WHSU526028,NAPZ-422310,11/01/2022,11/03/2022,,120.00 ,0.00 ,"1,770.72 ",OIPCL-22090140,WHLC025C734899,11/02/2022
