RECNO ,Ter ,SSL,ID ,Consignee,Container No,Chassis No,,,, EL Bill,,WO #,BOL #,,
1899596,ATL,ZIM,RINCHEM,CHEMICAL PRODUCT CORP / CHEM-STAR,ZIMU1355067,APMZ-232015,12/20/2021,12/21/2021,,280.00 ,0.00 ,722.80 ,88127,,12/21/2021
1899597,ATL,ZIM,RINCHEM,CHEMICAL PRODUCT CORP / CHEM-STAR,ZIMU3199615,DCLZ-230246,12/21/2021,12/21/2021,,240.00 ,0.00 ,682.80 ,88128,,12/21/2021
1899628,ATL,CMA,CMAVA,BEST BUY #718 / SAMSUNG,FFAU2061374,NAPZ-154617,12/17/2021,12/17/2021,,100.00 ,"17,500.00 ","18,092.80 ",TNAM21222508,SEL1228872,12/17/2021
1899631,ATL,CMA,CMAVA,BEST BUY #718 / SAMSUNG,GESU5127815,TSXZ-620613,12/16/2021,12/22/2021,,100.00 ,"17,871.00 ","18,468.20 ",TNAM21255324,SEL1228862,12/22/2021
1895768,SAV,ONE,ONEVA,NEOVIA LOGISTICS,TCNU7533265,TAXZ-499877,01/20/2022,,01/24/2022,0.00 ,"29,550.70 ","30,793.85 ",CHI3576823-CHI25751495,SELB88816806,01/21/2022
1895771,SAV,ONE,ONEVA,NEOVIA LOGISTICS,TCNU2807358,TAXZ-434429,01/21/2022,02/02/2022,01/25/2022,0.00 ,"29,839.10 ","31,082.25 ",CHI3576823-CHI25751493,SELB88816804,01/23/2022
1896038,SAV,ONE,ONEVA,NEOVIA LOGISTICS,GESU5811659,MAEC-615625,01/25/2022,,01/31/2022,0.00 ,"30,992.70 ","32,235.85 ",CHI3580124-CHI25773186,SELB88794604,01/27/2022
1896088,SAV,ONE,ONEVA,NEOVIA LOGISTICS,TCNU5902554,MCCZ-405007,01/25/2022,,02/02/2022,0.00 ,"30,704.30 ","31,947.45 ",CHI3580381-CHI25775437,LCBB28248500,01/28/2022
1896091,SAV,ONE,ONEVA,NEOVIA LOGISTICS,FDCU0363109,FLGZ-443612,01/26/2022,,02/03/2022,0.00 ,"30,992.70 ","32,235.85 ",CHI3580381-CHI25775434,LCBB28248500,02/02/2022
1897840,SAV,ONE,DJSITX,TREDIT TIRE & WHEEL,BEAU5424400,MAEC-610879,12/15/2021,12/20/2021,,478.00 ,0.00 ,"1,985.44 ",S21I111751,ONEYNB1BK0503700,12/16/2021
