RECNO ,Ter ,SSL,ID ,Consignee,Container No,Chassis No,,,, EL Bill,,WO #,BOL #,,
1934702,CHI,MSK,SAMSDTX,NEOVIA LOGISTICS - A58,TCNU843258,DCLZ-412729,12/09/2022,12/16/2022,12/12/2022,0.00 ,670.00 ,"1,673.20 ",SEA0042947,MAEUS01276871,12/09/2022
1934703,CHI,MSK,SAMSDTX,NEOVIA LOGISTICS - A58,TGBU684697,KKLZ-602142,12/11/2022,12/14/2022,12/13/2022,0.00 ,510.00 ,"1,513.20 ",SEA0042954,MAEUS01276867,12/11/2022
1934704,CHI,MSK,SAMSDTX,NEOVIA LOGISTICS - A58,TLLU489305,FLXZ-416233,12/10/2022,12/13/2022,12/13/2022,0.00 ,510.00 ,"1,513.20 ",SEA0042958,MAEUS01276868,12/10/2022
1934705,CHI,MSK,SAMSDTX,NEOVIA LOGISTICS - A58,UETU560974,NYKZ-508035,12/09/2022,12/13/2022,,0.00 ,550.00 ,"1,553.20 ",SEA0042972,MAEUS01276880,12/09/2022
1934706,CHI,SME,SAMSDTX,NEOVIA LOGISTICS - A58,CAIU990030,TSXZ-477166,12/03/2022,12/05/2022,,0.00 ,370.00 ,"1,107.20 ",SEA0042804,SMLMSEL2K7083200,12/03/2022
1934707,CHI,SME,SAMSDTX,NEOVIA LOGISTICS - A58,CAIU992257,TSXZ-461052,12/03/2022,12/05/2022,,0.00 ,370.00 ,"1,107.20 ",SEA0042806,SMLMSEL2K7083200,12/03/2022
1934708,CHI,SME,SAMSDTX,NEOVIA LOGISTICS - A58,SMCU100190,FHCZ-147340,12/05/2022,12/08/2022,12/06/2022,0.00 ,410.00 ,"1,147.20 ",SEA0042917,SMLMSEL2K7083200,12/05/2022
1934709,CHI,SME,SAMSDTX,NEOVIA LOGISTICS - A58,SMCU102489,FLXZ-434910,12/05/2022,12/08/2022,12/06/2022,0.00 ,410.00 ,"1,147.20 ",SEA0042918,SMLMSEL2K7083200,12/05/2022
1934710,CHI,SME,SAMSDTX,NEOVIA LOGISTICS - A58,SMCU103852,TSXZ-477166,12/05/2022,12/06/2022,,0.00 ,330.00 ,"1,067.20 ",SEA0042919,SMLMSEL2K7083200,12/05/2022
1934711,CHI,SME,SAMSDTX,NEOVIA LOGISTICS - A58,SMCU109037,DCHZ-407442,12/05/2022,12/07/2022,12/05/2022,0.00 ,370.00 ,"1,107.20 ",SEA0042920,SMLMSEL2K7083200,12/05/2022
1934712,CHI,SME,SAMSDTX,NEOVIA LOGISTICS - A58,SMCU112968,TSXZ-461052,12/05/2022,12/07/2022,12/05/2022,0.00 ,370.00 ,"1,107.20 ",SEA0042921,SMLMSEL2K7083200,12/05/2022
1934713,CHI,SME,SAMSDTX,NEOVIA LOGISTICS - A58,SMCU126290,TSXZ-434139,12/05/2022,12/08/2022,12/06/2022,0.00 ,410.00 ,"1,147.20 ",SEA0042922,SMLMSEL2K7083200,12/05/2022
1934714,CHI,SME,SAMSDTX,NEOVIA LOGISTICS - A58,SMCU127544,KKLZ-404132,12/07/2022,12/08/2022,12/07/2022,0.00 ,330.00 ,"1,067.20 ",SEA0042923,SMLMSEL2K7083200,12/07/2022
1934715,CHI,SME,SAMSDTX,NEOVIA LOGISTICS - A58,SMCU701132,FLXZ-446305,12/05/2022,12/08/2022,12/06/2022,0.00 ,410.00 ,"1,147.20 ",SEA0042924,SMLMSEL2K7083200,12/05/2022
1934716,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,BSIU925869,MSCZ-400057,12/08/2022,12/09/2022,12/09/2022,0.00 ,80.00 ,764.00 ,SEA0042790,HDMUSELM30435300,12/08/2022
1934717,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,BSIU926325,DCHZ-411495,12/08/2022,12/09/2022,12/09/2022,0.00 ,80.00 ,764.00 ,SEA0042792,HDMUSELM30435300,12/08/2022
1934718,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,CAIU736539,DCLZ-425099,12/09/2022,12/12/2022,12/12/2022,0.00 ,160.00 ,844.00 ,SEA0042796,HDMUSELM30435300,12/09/2022
1934719,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,CAIU763683,APMZ-418883,12/08/2022,12/08/2022,,0.00 ,40.00 ,724.00 ,SEA0042799,HDMUSELM30435300,12/08/2022
