"TERMINAL","RECNO","EL_DIV","EL_PR","EL_DDP","EL_ID","EL_PB","EL_PB_BILL_INFO","EL_TPP","PREFIX_CTNR","CONTAINERNO","ADJAMOUNT","VCC","ORIG_BILLTOID","CONSIGNEE","INV_DATE","DUE_DATE","DELVDATE","INGATEDATE","EMPTY_NOTIFIED","CARRIER_ID","MPA_CARR_REF","PPWK_RECVD","NBA_CHANGE","SPAID","EL_NBA"
"SAV",1914927,"MNR",160,0,0,0,"",0,"ZCSU","792636",160,"N","SCHECA","SVC LOGISTICS INC",5/31/2022,6/30/2022,5/4/2022,5/6/2022,,"DOWNGA","397146",6/1/2022,,7/12/2022,0
"SAV",1911272,"MNR",460,0,0,0,"",0,"SEKU","593087",460,"N","SCHECA","SVC LOGISTICS INC",4/12/2022,5/12/2022,3/29/2022,3/30/2022,,"DOWNGA","390764",4/12/2022,,5/3/2022,0
"SAV",1921284,"PD",1200,0,0,0,"",0,"ZCSU","798033",1200,"N","SCHECA","SVC LOGISTICS INC",7/8/2022,8/7/2022,6/17/2022,6/24/2022,,"ZIM","DSAV1730325235",7/8/2022,,,0
"SAV",1911655,"MNR",460,0,0,0,"",0,"ZCSU","793141",460,"N","SCHECA","SADDLECREEK WAREHOUSE",4/1/2022,5/1/2022,3/21/2022,3/22/2022,,"DOWNGA","389930",4/4/2022,,4/26/2022,0
"SAV",1912892,"MNR",160,0,0,0,"",0,"KOCU","414579",160,"Y","HYUNTX","SAMSUNG ELECTRONICS AMERICA",3/30/2022,4/29/2022,3/31/2022,4/8/2022,4/1/2022,"DOWNGA","391451",4/18/2022,,4/20/2022,0
"SAV",1912921,"MNR",170,0,0,0,"",0,"MSKU","808235",170,"Y","MAENC","NEOVIA LOGISTICS",5/19/2022,6/18/2022,4/6/2022,4/22/2022,4/6/2022,"DOWNGA","395182",5/20/2022,,6/14/2022,0
"SAV",1913832,"MNR",1875,0,0,0,"",0,"MSKU","133828",1875,"Y","MAENC","NEOVIA LOGISTICS",5/4/2022,6/3/2022,4/26/2022,5/3/2022,4/28/2022,"DOWNGA","393434",5/4/2022,,5/31/2022,0
"SAV",1896087,"MNR",325,0,0,0,"",0,"TCNU","480380",325,"Y","ONEVA","NEOVIA LOGISTICS",5/19/2022,6/18/2022,4/21/2022,4/29/2022,4/27/2022,"DOWNGA","395594",5/20/2022,,6/14/2022,0
"SAV",1915302,"MNR",475,0,0,0,"",0,"KOCU","411981",475,"Y","HYUNTX","SAMSUNG ELECTRONICS AMERICA",6/19/2022,7/19/2022,5/19/2022,5/21/2022,5/20/2022,"DOWNGA","399913",6/20/2022,,,0
"SAV",1916167,"MNR",252.98,0,0,0,"",0,"TCNU","698633",252.98,"Y","MAENC","NEOVIA LOGISTICS",6/9/2022,7/9/2022,4/27/2022,5/5/2022,5/2/2022,"DOWNGA","398322",6/10/2022,,7/19/2022,0
"SAV",1917396,"MNR",475,0,0,0,"",0,"CMAU","893436",475,"N","SCHECA","SVC LOGISTICS INC",6/26/2022,7/26/2022,5/26/2022,5/28/2022,,"DOWNGA","400552",6/27/2022,,,0
"SAV",1917514,"MNR",376,0,0,0,"",0,"UACU","603507",376,"N","DJSITX","TREDIT TIRE & WHEEL",7/22/2022,8/21/2022,6/17/2022,6/18/2022,,"DOWNGA","403818",7/22/2022,,,0
"SAV",1920642,"MNR",370.5,0,0,0,"",0,"HLBU","152662",370.5,"N","HAPAGA","STAPLES WHSE #895",7/9/2022,8/8/2022,5/31/2022,6/13/2022,6/3/2022,"DOWNGA","400647",7/11/2022,,,0
"SAV",1918011,"PD",150,0,0,0,"",0,"ZCSU","657742",150,"N","SCHECA","SADDLECREEK WAREHOUSE",6/16/2022,7/16/2022,6/7/2022,6/10/2022,,"ZIM","DSAV1730322374",6/17/2022,,7/21/2022,0
"SAV",1908589,"PD",1710,0,0,0,"",0,"MSDU","409608",1710,"N","NIKCA","SUDDATH JACKSONVILLE",5/17/2022,6/16/2022,4/25/2022,4/29/2022,,"MSCSC","100001698619P",5/20/2022,,7/13/2022,0
""
"Note: From table  where EL_PR> 0."
"Date: 07/25/2022 16:00"
